latitude,longitude
41.0226934,28.8282815
41.0302635,28.8396022
41.0319267,28.8387378
41.0313102,28.8287103
41.0329194,28.8433568
41.0236528,28.8433356
41.0344303,28.8399112
41.0244378,28.8429387
41.0314005,28.8457948
41.019932,28.8230091
41.0270437,28.8292202
41.0302467,28.8393584
41.0328776,28.843343
41.034316,28.8390147
41.0314281,28.8440632
41.0323241,28.8433015
41.0265209,28.8146458
41.0314924,28.8283671
41.0301236,28.82776
41.032125,28.8433605
41.0312554,28.8320922
41.0331492,28.8357688
41.0339918,28.8444301
41.0238032,28.8461031
41.0322132,28.8432874
41.0341828,28.8433346
41.0342152,28.8231195
41.0316234,28.8452874
41.0310212,28.8423956
41.0284567,28.8274008
41.0246006,28.8458789
41.0311279,28.829535
41.0305982,28.8390911
41.0311056,28.8424691
41.0318825,28.8462714
41.0340604,28.8433166
41.0278761,28.82282
41.0289957,28.8432419
41.0305507,28.8273428
41.0319151,28.8464586
41.0262,28.8451398
41.0340277,28.8230933
41.0306351,28.839206
41.0312109,28.8320333
41.0284937,28.8289818
41.0289668,28.8276791
41.0284625,28.8194929
41.0260521,28.8292022
41.0315499,28.8282781
41.0276018,28.830825
41.030549,28.840807
41.0264244,28.8305795
41.0309468,28.8339559
41.0305723,28.8407031
41.0311811,28.829311
41.0226369,28.8326952
41.0228787,28.8303402
41.0242686,28.8253892
41.0224919,28.8303402
41.0306701,28.8415914
41.0313099,28.839648
41.0242474,28.8430195
41.0242559,28.8285944
41.0259811,28.8291787
41.0325643,28.8395428
41.0283539,28.8304605
41.0311896,28.8270623
41.0305595,28.8277019
41.030263,28.8291275
41.0257046,28.8454907
41.0256743,28.8305885
41.0325722,28.8396059
41.0318753,28.8264763
41.0280063,28.8307619
41.027459,28.8308093
41.0309445,28.8231421
41.0247445,28.8288386
41.0313263,28.8266872
41.0268879,28.8307462
41.0265128,28.814603
41.0298065,28.8283161
41.0312492,28.8436938
41.0308405,28.8377917
41.0240137,28.8287702
41.0313079,28.8391268
41.0281929,28.8306438
41.028737,28.8292151
41.026843,28.8425579
41.0342779,28.8416284
41.0289298,28.8302059
41.0311183,28.8295985
41.0278874,28.8308408
41.0286225,28.840155
41.0341185,28.8337101
41.0268046,28.8307146
41.0344453,28.8418182
41.027862,28.829444
41.0239432,28.8287702
41.031839,28.8460411
41.0232683,28.8286634
41.0229319,28.8343922
41.0291397,28.8438448
41.0307224,28.8414161
41.0261011,28.8257102
41.0308608,28.8309999
41.0294063,28.8298522
41.0260994,28.8290712
41.0279468,28.8307777
41.0305411,28.83933
41.0309248,28.8340873
41.0276896,28.8294638
41.0275304,28.8308093
41.0263744,28.8450143
41.0262409,28.8305667
41.0312381,28.8427502
41.0262654,28.8292493
41.0329611,28.8433568
41.0263882,28.8306831
41.0296795,28.8297848
41.022339,28.8450714
41.030889,28.8302091
41.0312221,28.8320627
41.0312139,28.8267617
41.0299257,28.8295467
41.0304436,28.8277786
41.0310549,28.8369953
41.0252186,28.8290162
41.0336303,28.8415779
41.0266339,28.82586
41.0308309,28.8300991
41.0300961,28.8280704
41.0244988,28.8428984
41.0327209,28.843343
41.0271616,28.8307777
41.0304,28.8290157
41.0259836,28.8306989
41.0251997,28.8423733
41.0223469,28.8303562
41.0250434,28.8289479
41.0311333,28.835818
41.0263352,28.825753
41.0299803,28.8281625
41.0309231,28.8284864
41.0298203,28.8296585
41.032533,28.8433291
41.0311664,28.8304644
41.0230116,28.8303402
41.0332957,28.8346142
41.0311887,28.8325492
41.0256505,28.8305885
41.0241849,28.8287969
41.0301576,28.8292532
41.0322626,28.839206
41.0294474,28.8285771
41.0286783,28.844512
41.0431274,28.8472438
41.044938,28.8379289
41.0445267,28.838768
41.0451423,28.8283472
41.0449113,28.844201
41.0381864,28.8445952
41.0370069,28.8238686
41.0419615,28.8436695
41.0438333,28.8471502
41.0387349,28.8444949
41.0403539,28.8445814
41.0453976,28.8326056
41.0454741,28.8459532
41.0366874,28.8420188
41.0455945,28.8389298
41.03795,28.8445702
41.045514,28.8318978
41.0432557,28.8417408
41.0391754,28.8252517
41.043914,28.8471235
41.0457547,28.8343415
41.045268,28.8271719
41.0397255,28.8429938
41.041476,28.836072
41.0454218,28.8391709
41.0402331,28.844185
41.0427815,28.8318642
41.0451946,28.846602
41.0442972,28.8470031
41.0401357,28.8402899
41.0357244,28.8400075
41.0425035,28.841682
41.0435608,28.8473744
41.0453358,28.8465753
41.0458367,28.8439589
41.0383541,28.8397334
41.0396155,28.840171
41.044185,28.8405696
41.0445114,28.8472518
41.0383061,28.8342777
41.0457991,28.8402795
41.0408874,28.8439841
41.0417862,28.8398142
41.0424879,28.8438911
41.0455903,28.832224
41.0445837,28.8387008
41.0364094,28.8345241
41.0376858,28.845614
41.0446153,28.8386337
41.0443173,28.8437942
41.0446624,28.8442724
41.0409834,28.8416579
41.040949,28.836199
41.0448761,28.8350473
41.042371,28.843805
41.0443173,28.8443291
41.0402196,28.8442065
41.040591,28.8439841
41.0453126,28.8348061
41.0454935,28.8324967
41.0428249,28.8471101
41.0346312,28.8381523
41.0405035,28.8401472
41.0401405,28.8440627
41.0370632,28.8343609
41.0428928,28.8356909
41.0446893,28.8441296
41.0377255,28.8413496
41.0402235,28.8441256
41.045514,28.8318433
41.0396394,28.8460294
41.0415883,28.8431845
41.0437325,28.847177
41.0384985,28.8445075
41.0388938,28.840379
41.040425,28.8446915
41.0452789,28.8460424
41.0434187,28.8392671
41.0420848,28.8439055
41.0417144,28.8397904
41.042654,28.8326636
41.044398,28.846963
41.03519,28.8390865
41.0457627,28.8437411
41.0428386,28.8410176
41.0388862,28.8444197
41.0456834,28.8327179
41.0449733,28.8311174
41.0400219,28.843937
41.0449022,28.8467224
41.044957,28.8383149
41.0447124,28.8400149
41.0456205,28.8316723
41.0418951,28.8438741
41.0453703,28.8312444
41.0433618,28.8444212
41.0454565,28.8404006
41.0410927,28.8361627
41.0445669,28.8401596
41.0398038,28.8404088
41.0430419,28.8392196
41.0410106,28.8361809
41.0455136,28.8403098
41.0455821,28.8318768
41.0407437,28.8362353
41.0412787,28.8439998
41.0411838,28.8440156
41.0443274,28.8435536
41.0416569,28.832556
41.0346321,28.8406269
41.0418192,28.8324484
41.0397018,28.8428366
41.0376765,28.8454674
41.0455016,28.8330431
41.045514,28.8319522
41.040453,28.8435986
41.045058,28.834999
41.0437728,28.8471502
41.0366691,28.8342629
41.0407926,28.8440313
41.0389206,28.8398271
41.0430025,28.8437861
41.0454135,28.8459889
41.0396144,28.8424254
41.0456218,28.8388333
41.0422366,28.8322024
41.044156,28.8470834
41.0412121,28.8398142
41.0429323,28.8317874
41.0403183,28.8441413
41.0376112,28.8418547
41.0457972,28.8449181
41.0451671,28.8395085
41.0451039,28.8466823
41.0434192,28.8327404
41.0348159,28.839299
41.0442467,28.8470299
41.0420137,28.8438269
41.038489,28.8445075
41.0456356,28.8442042
41.0432569,28.8335706
41.0448852,28.8398461
41.0398307,28.840385
41.0419544,28.8438584
41.0455022,28.8423087
41.0345444,28.8408193
41.045589,28.8314039
41.0388742,28.8396887
41.034573,28.8404153
41.0443577,28.8436739
41.0446397,28.8349267
41.0372887,28.8405628
41.0455071,28.8317889
41.0444269,28.8441475
41.0418596,28.8439527
41.0438535,28.8455057
41.0425381,28.8320026
41.0452308,28.8348785
41.0396426,28.8426009
41.0433291,28.8472438
41.0347159,28.8410718
41.0452667,28.8457639
41.0455277,28.8320611
41.0434299,28.8472037
41.0388874,28.8405542
41.0431822,28.8440904
41.0454505,28.8461013
41.0411543,28.8361446
41.0404699,28.8362353
41.0456837,28.8331485
41.0396188,28.842538
41.0430591,28.8314108
41.0440047,28.8471235
41.0453308,28.8392915
41.0431977,28.8474457
41.0420373,28.8398142
41.044239,28.8306388
41.0447005,28.8468293
41.0402669,28.8441796
41.0399922,28.8403375
41.0446397,28.8400873
41.0426309,28.8438739
41.045596,28.8331485
41.0392978,28.8412837
41.0451139,28.8419149
41.0357244,28.8403476
41.0394128,28.8253236
41.0394719,28.8403375
41.0455242,28.8315879
41.0353824,28.8393274
41.0454319,28.8314622
41.0456282,28.8463881
41.0437162,28.841293
41.0455682,28.8323317
41.043616,28.8393861
41.0422086,28.8439083
41.0402116,28.8440627
41.038716,28.8406299
41.0436576,28.8417379
41.0345972,28.8371144
41.0422946,28.8321717
41.0390481,28.8402575
